sen,label_decode,label,raw_sen,length
"['高', '勇', '：', '男', '，', '中', '国', '国', '籍', '，', '无', '境', '外', '居', '留', '权', '，']","['B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-CONT', 'I-CONT', 'I-CONT', 'I-CONT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 3, 4, 5, 5, 5, 6, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5]",高勇：男，中国国籍，无境外居留权，,17
"['1', '9', '6', '6', '年', '出', '生', '，', '汉', '族', '，', '中', '共', '党', '员', '，', '本', '科', '学', '历', '，', '工', '程', '师', '、', '美', '国', '项', '目', '管', '理', '协', '会', '注', '册', '会', '员', '（', 'P', 'M', 'I', 'M', 'e', 'm', 'b', 'e', 'r', '）', '、', '注', '册', '项', '目', '管', '理', '专', '家', '（', 'P', 'M', 'P', '）', '、', '项', '目', '经', '理', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-RACE', 'I-RACE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 9, 5, 10, 11, 11, 11, 5, 12, 13, 13, 13, 5, 10, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 10, 11, 11, 11, 11, 11, 11, 11, 11, 5, 5, 10, 11, 11, 11, 11, 11, 11, 11, 5, 10, 11, 11, 5, 5, 10, 11, 11, 11, 5, 5]",1966年出生，汉族，中共党员，本科学历，工程师、美国项目管理协会注册会员（PMIMember）、注册项目管理专家（PMP）、项目经理。,68
"['2', '0', '0', '7', '年', '1', '0', '月', '至', '今', '任', '人', '和', '投', '资', '董', '事', '；']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 10, 11, 5, 5]",2007年10月至今任人和投资董事；,18
"['2', '0', '0', '7', '年', '1', '2', '月', '至', '2', '0', '1', '3', '年', '2', '月', '任', '公', '司', '董', '事', '、', '董', '事', '会', '秘', '书', '、', '综', '合', '管', '理', '部', '部', '长', '；']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 10, 11, 5, 10, 11, 11, 11, 11, 5, 10, 11, 11, 11, 11, 11, 11, 5, 5]",2007年12月至2013年2月任公司董事、董事会秘书、综合管理部部长；,36
"['2', '0', '1', '3', '年', '2', '月', '至', '今', '任', '山', '东', '三', '维', '石', '化', '工', '程', '股', '份', '有', '限', '公', '司', '董', '事', '、', '董', '事', '会', '秘', '书', '、', '副', '总', '经', '理', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 5, 10, 11, 11, 11, 11, 5, 10, 11, 11, 11, 5, 5]",2013年2月至今任山东三维石化工程股份有限公司董事、董事会秘书、副总经理。,38
"['张', '雁', '冰', '，', '男', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O']","[5, 3, 4, 4, 5, 5, 5, 5]",张雁冰，男，,6
"['1', '9', '6', '5', '年', '1', '月', '出', '生', '，', '中', '国', '国', '籍', '，', '无', '永', '久', '境', '外', '居', '留', '权', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONT', 'I-CONT', 'I-CONT', 'I-CONT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1965年1月出生，中国国籍，无永久境外居留权。,24
"['兰', '州', '商', '学', '院', '会', '计', '专', '业', '学', '士', '，', '中', '国', '社', '科', '院', '研', '究', '生', '院', '国', '际', '贸', '易', '专', '业', '硕', '士', '研', '究', '生', '。']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 14, 15, 15, 15, 15, 16, 17, 17, 17, 12, 13, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 16, 17, 17, 17, 17, 17, 12, 13, 13, 13, 13, 5, 5]",兰州商学院会计专业学士，中国社科院研究生院国际贸易专业硕士研究生。,33
"['1', '9', '8', '7', '年', '7', '月', '-', '1', '9', '9', '5', '年', '5', '月', '任', '甘', '肃', '省', '友', '谊', '公', '司', '主', '管', '会', '计', '、', '第', '二', '经', '营', '部', '副', '经', '理', '，']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 10, 11, 11, 11, 11, 11, 11, 11, 5, 5]",1987年7月-1995年5月任甘肃省友谊公司主管会计、第二经营部副经理，,37
"['1', '9', '9', '5', '年', '5', '月', '-', '-', '2', '0', '1', '0', '年', '2', '月', '历', '任', '华', '为', '技', '术', '有', '限', '公', '司', '财', '务', '经', '理', '、', '山', '东', '华', '为', '副', '总', '经', '理', '、', '河', '北', '华', '为', '副', '总', '经', '理', '、', '乌', '克', '兰', '华', '为', '财', '经', '管', '理', '部', '长', '等', '职', '务', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 10, 11, 11, 11, 11, 11, 5, 5, 5, 5, 5]",1995年5月--2010年2月历任华为技术有限公司财务经理、山东华为副总经理、河北华为副总经理、乌克兰华为财经管理部长等职务。,64
"['现', '任', '北', '京', '鼎', '汉', '技', '术', '股', '份', '有', '限', '公', '司', '董', '事', '会', '董', '事', '、', '副', '总', '裁', '。']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 5, 10, 11, 11, 5, 5]",现任北京鼎汉技术股份有限公司董事会董事、副总裁。,24
"['陈', '云', '峰', '先', '生', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O']","[5, 3, 4, 4, 5, 5, 5, 5]",陈云峰先生，,6
"['1', '9', '9', '2', '年', '毕', '业', '于', '中', '国', '人', '民', '大', '学', '会', '计', '系', '，', '获', '学', '士', '学', '位', '；']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 5, 5, 12, 13, 13, 13, 5, 5]",1992年毕业于中国人民大学会计系，获学士学位；,24
"['1', '9', '9', '2', '年', '至', '1', '9', '9', '3', '年', '于', '外', '交', '部', '财', '务', '司', '二', '处', '工', '作', '；']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 10, 11, 11, 11, 11, 5, 5, 5, 5]",1992年至1993年于外交部财务司二处工作；,23
